TITLE,AUTHOR,PUBLICATION DATE,IDENTIFICATION NO,BOOK ITEM,SUBJECT CATEGORY
Bar Review Materials in Commercial Law,Jorge V. Marivite,1998,001/Ge003/1998,5,Generalities
Rubdob ng Tag-Init,Nick Joaquin,2017,002/Ge004/2017,4,Generalities
A Research Primer,Consuelo G. Sevilla,1990,003/Ge005/1990,3,Generalities
Data Networks,Uyless D. Black,1989,004/Ge006/1989,2,Generalities
Bibliography of Publication,P.C. Mohan,1996,005/Ge007/1996,4,Generalities
Philippines 2000,Marily Ysip-Orosa,1996,006/Ge008/1996,6,Generalities
The Philippine Senate,Remigio Agpalo,1997,007/Ge009/1997,5,Generalities
Outline of Library Classification and Cataloging for Beginners,I.V. Mallari,1954,008/Ge010/1954,2,Generalities
The Proceedings on The State of the Art of Filipiniana Collections in the Philippines in a Commemoration of the 40th Anniversary of the Lopez Memorial Museum,Dr. Irene D. Amores,2000,009/Ge011/2000,2,Generalities
The Libraries of the Philippines,Concordia Sanchez,1974,010/Ge012/1974,3,Generalities
Data Structures,Seymour Lipschutz,1986,011/Ge013/1986,1,Generalities
Jose Rizal and the Asian Renaissance,M. Rajaret nam,1996,012/Ge014/1996,2,Generalities
The Nunobiki-Marv Affair,Dr. Yaroku Nakamura,1998,013/Ge015/1998,3,Generalities
FVR Through the Years,Ben Cal,1997,014/Ge016/1997,4,Generalities
Java Programming for Nadroid Developers,Barry Burd,2017,015/Ge017/2017,6,Generalities
Excel Sales Forecasting,Conrad Carlberg,2016,016/Ge018/2016,5,Generalities
A Treasury of Philosophy Volume 2,Dagobert D. Runes,1955,101/Pp020/1955,2,Philosophy and Psychology
The Filipino: Values and Visions,Vicente C. Sotto III,1996,102/Pp021/1996,4,Philosophy and Psychology
Sending Workers Abroad,Manolo I. Abella,1997,103/Pp022/1997,5,Philosophy and Psychology
Dianetics the Evolution of a Science,L. Ron Hubbard,2007,104/Pp023/2007,2,Philosophy and Psychology
Sikolohiya ng mga Hapones,Hiroshi Minami,1993,105/Pp024/1993,1,Philosophy and Psychology
General Psychology,Consuelo G. Sevilla,1994,106/Pp025/1994,1,Philosophy and Psychology
Ang Istruktura ng Amae,Lilia Antonio,1990,107/Pp026/1990,2,Philosophy and Psychology
Introduction to Experimental Psychology,Milagros M. Cataboro,1994,108/Pp027/1994,8,Philosophy and Psychology
The Mind,John Rowan Wilson,1965,109/Pp028/1965,4,Philosophy and Psychology
The Mind of Adolf Hitler,Walter C. Langer,1972,110/Pp029/1972,2,Philosophy and Psychology
Dianetics,L. Ron Hubbard,2009,111/Pp030/2009,2,Philosophy and Psychology
Pagsusuri sa Sarili,L. Ron Hubbard,2009,112/Pp031/2009,2,Philosophy and Psychology
